 ,Area1,Mean1,Min1,Max1,Perim.1
1,46.385,4214.899,1078,7646,36.916
2,46.385,560.114,125,3201,36.916
3,46.385,4329.152,1059,7954,36.916
4,46.385,565.070,119,3204,36.916
5,46.385,4147.175,1047,7562,36.916
6,46.385,564.489,125,3218,36.916
7,46.385,4014.169,985,7354,36.916
8,46.385,563.952,127,3199,36.916
9,46.385,4212.671,1070,7834,36.916
10,46.385,562.547,128,3134,36.916
11,46.385,4037.663,1020,7394,36.916
12,46.385,564.844,125,3173,36.916
13,46.385,3911.219,982,7066,36.916
14,46.385,568.148,127,3288,36.916
15,46.385,3945.773,1014,7076,36.916
16,46.385,566.484,126,3220,36.916
17,46.385,3967.695,1002,7193,36.916
18,46.385,567.305,133,3316,36.916
19,46.385,4099.508,1022,7486,36.916
20,46.385,567.406,131,3307,36.916
21,46.385,3947.885,957,7098,36.916
22,46.385,566.937,118,3253,36.916
23,46.385,3981.660,1015,7146,36.916
24,46.385,563.623,129,3178,36.916
25,46.385,3987.639,1051,7135,36.916
26,46.385,567.706,133,3109,36.916
27,46.385,3748.804,962,6673,36.916
28,46.385,567.610,133,3087,36.916
29,46.385,3840.723,993,6870,36.916
30,46.385,567.816,127,3091,36.916
31,46.385,3853.616,988,6917,36.916
32,46.385,568.158,133,3155,36.916
33,46.385,3870.520,1067,7002,36.916
34,46.385,566.346,133,3246,36.916
35,46.385,3665.839,1011,6586,36.916
36,46.385,567.503,134,3040,36.916
37,46.385,3620.678,1002,6533,36.916
38,46.385,566.260,128,3041,36.916
39,46.385,3694.722,991,6640,36.916
40,46.385,567.109,133,3001,36.916
41,46.385,3644.320,1008,6397,36.916
42,46.385,569.105,135,3083,36.916
43,46.385,3711.643,1007,6561,36.916
44,46.385,567.539,129,3198,36.916
45,46.385,3641.957,977,6481,36.916
46,46.385,573.991,131,3370,36.916
47,46.385,3645.376,1033,6437,36.916
48,46.385,573.476,133,3447,36.916
49,46.385,3639.829,1050,6424,36.916
50,46.385,575.531,121,3480,36.916
51,46.385,3708.116,1012,6464,36.916
52,46.385,576.255,122,3577,36.916
53,46.385,3697.514,1045,6584,36.916
54,46.385,579.592,130,3615,36.916
55,46.385,3588.866,1016,6419,36.916
56,46.385,573.539,129,3522,36.916
57,46.385,3620.331,961,6547,36.916
58,46.385,578.960,133,3509,36.916
59,46.385,3805.750,1122,6890,36.916
60,46.385,577.677,121,3439,36.916
61,46.385,3980.646,1099,7227,36.916
62,46.385,580.269,136,3433,36.916
63,46.385,3971.777,1095,7050,36.916
64,46.385,573.404,131,3331,36.916
65,46.385,4108.883,1166,7494,36.916
66,46.385,579.643,132,3370,36.916
67,46.385,4039.582,1163,7276,36.916
68,46.385,579.553,134,3542,36.916
69,46.385,3951.766,1119,7014,36.916
70,46.385,581.231,139,3513,36.916
71,46.385,4048.295,1097,7305,36.916
72,46.385,578.925,137,3566,36.916
73,46.385,3892.816,1062,6885,36.916
74,46.385,578.976,127,3444,36.916
75,46.385,3643.780,1038,6507,36.916
76,46.385,579.861,132,3305,36.916
77,46.385,3550.718,1056,6416,36.916
78,46.385,578.517,134,3358,36.916
79,46.385,3584.158,1053,6192,36.916
80,46.385,576.758,136,3425,36.916
81,46.385,3699.789,1052,6457,36.916
82,46.385,575.476,133,3308,36.916
83,46.385,3555.381,1043,6225,36.916
84,46.385,576.501,132,3313,36.916
85,46.385,3796.893,1100,6712,36.916
86,46.385,573.524,138,3242,36.916
87,46.385,4024.082,1152,7129,36.916
88,46.385,571.700,135,3168,36.916
89,46.385,3708.060,1088,6566,36.916
90,46.385,573.931,144,3142,36.916
91,46.385,3755.451,1086,6706,36.916
92,46.385,574.662,142,3217,36.916
93,46.385,3727.433,1069,6612,36.916
94,46.385,574.264,135,3133,36.916
95,46.385,3609.002,977,6339,36.916
96,46.385,575.254,140,3135,36.916
97,46.385,3477.734,969,6120,36.916
98,46.385,574.333,141,3067,36.916
99,46.385,3444.082,1037,5992,36.916
100,46.385,575.888,141,3031,36.916
