 ,Area(5_roi),Mean(5_roi),Min(5_roi),Max(5_roi),Perim.(5_roi)
1,110.140,2203.718,249,9533,41.514
2,110.140,10382.494,818,65535,41.514
3,110.140,2110.467,236,9083,41.514
4,110.140,10432.815,775,65535,41.514
5,110.140,2067.545,207,8843,41.514
6,110.140,10455.124,761,65535,41.514
7,110.140,2049.238,227,8697,41.514
8,110.140,10350.795,860,65535,41.514
9,110.140,2025.257,225,8631,41.514
10,110.140,10491.894,780,65535,41.514
11,110.140,1999.674,224,8551,41.514
12,110.140,10529.173,786,65535,41.514
13,110.140,1994.693,226,8372,41.514
14,110.140,10534.767,777,65535,41.514
15,110.140,2004.294,224,8342,41.514
16,110.140,10518.665,755,65535,41.514
17,110.140,2012.865,239,8357,41.514
18,110.140,10544.329,784,65535,41.514
19,110.140,2022.574,222,8348,41.514
20,110.140,10517.022,809,65535,41.514
21,110.140,2004.755,229,8314,41.514
22,110.140,10504.274,797,65535,41.514
23,110.140,2009.282,228,8436,41.514
24,110.140,10529.611,794,65535,41.514
25,110.140,1986.393,221,8234,41.514
26,110.140,10402.347,827,65535,41.514
27,110.140,1970.017,219,8176,41.514
28,110.140,10495.977,822,65535,41.514
29,110.140,1955.136,222,8017,41.514
30,110.140,10513.331,812,65535,41.514
31,110.140,1948.992,225,7965,41.514
32,110.140,10515.950,834,65535,41.514
33,110.140,1982.347,227,8088,41.514
34,110.140,10610.100,821,65535,41.514
35,110.140,1982.161,228,8019,41.514
36,110.140,10552.369,827,65535,41.514
37,110.140,1970.340,232,8042,41.514
38,110.140,10557.370,808,65535,41.514
39,110.140,1969.841,237,8211,41.514
40,110.140,10543.492,816,65535,41.514
41,110.140,1971.955,214,8087,41.514
42,110.140,10528.164,845,65535,41.514
43,110.140,1963.483,232,7968,41.514
44,110.140,10517.469,860,65535,41.514
45,110.140,1959.250,222,7971,41.514
46,110.140,10544.723,854,65535,41.514
47,110.140,1968.441,225,7975,41.514
48,110.140,10516.657,827,65535,41.514
49,110.140,1962.248,227,7829,41.514
50,110.140,10539.218,856,65535,41.514
51,110.140,1954.859,220,7758,41.514
52,110.140,10521.735,880,65535,41.514
53,110.140,1936.444,224,7793,41.514
54,110.140,10509.505,879,65535,41.514
55,110.140,1913.719,235,7560,41.514
56,110.140,10489.812,898,65535,41.514
57,110.140,1921.684,228,7653,41.514
58,110.140,10508.581,900,65535,41.514
59,110.140,1900.120,231,7540,41.514
60,110.140,10501.140,864,65535,41.514
61,110.140,1896.528,227,7524,41.514
62,110.140,10470.156,887,65535,41.514
63,110.140,1893.237,230,7642,41.514
64,110.140,10466.672,886,65535,41.514
65,110.140,1913.740,229,7673,41.514
66,110.140,10449.681,877,65535,41.514
67,110.140,1912.590,235,7718,41.514
68,110.140,10447.345,897,65535,41.514
69,110.140,1909.882,233,7543,41.514
70,110.140,10425.169,903,65535,41.514
71,110.140,1899.904,232,7381,41.514
72,110.140,10438.585,925,65535,41.514
73,110.140,1909.718,234,7451,41.514
74,110.140,10428.343,952,65535,41.514
